#|num|weight|mean|covariance matrix| 
|1|0.00205484362384143315|24.558754 10.575928 -26.511740|18.8056778721 -0.0049615298 2.029112638 -0.0049615298 3.8260398344 -0.0076856624 2.029112638 -0.0076856624 16.2404426321|
|2|0.00175210301141916669|-11.883448 -16.054045 25.919153|3.8357734499 0.0003726074 0.000697941 0.0003726074 3.8252872152 0.0015791766 0.000697941 0.0015791766 14.7876323854|
|3|0.01066650180723856776|27.277183 -3.455259 -31.867292|49.9997468944 -17.0592447465 -1.5745655516 -17.0592447465 50.0321820942 0.8133069029 -1.5745655516 0.8133069029 34.8420888856|
|4|0.00530124933244834496|18.110548 2.545023 -27.408130|155.4986802099 -1.0879276317 -103.8641584603 -1.0879276317 28.3683776135 -1.1272548719 -103.8641584603 -1.1272548719 132.1333871014|
|5|0.02459211815369656551|44.469119 9.732994 -53.962614|41.5456216439 -3.3016678228 -9.2303108645 -3.3016678228 39.5682156663 14.7104776021 -9.2303108645 14.7104776021 39.5833503986|
|6|0.06632263437677736462|-24.215114 -2.085467 28.548829|61.9793380186 9.5745972094 1.2610537425 9.5745972094 56.8191829458 -1.4364532973 1.2610537425 -1.4364532973 97.1412328189|
|7|0.00262603881825133629|-25.179130 4.953740 -14.793844|3.8228087001 -0.0016261157 0.0034671047 -0.0016261157 22.3948994317 -15.9078958366 0.0034671047 -15.9078958366 31.5973898493|
|8|0.00511586984429557041|32.467518 -16.053302 -30.360926|35.7910435824 -0.0017927249 -3.9902665844 -0.0017927249 3.8302104047 -0.004656535 -3.9902665844 -0.004656535 24.5519996945|
|9|0.17660336519908839681|-14.172105 0.853548 9.495733|107.0671688936 18.1276508331 -57.9150655568 18.1276508331 56.4727506059 -11.4521364817 -57.9150655568 -11.4521364817 188.0494962121|
|10|0.01079473405182636639|-7.878431 0.317665 -7.963240|82.4701348133 11.6295516361 -13.9449695577 11.6295516361 41.0553921932 -15.7045751376 -13.9449695577 -15.7045751376 79.9158941908|
|11|0.00595485456836348116|4.328040 -2.723007 -20.939127|59.5232599195 -0.0123286546 2.8483859311 -0.0123286546 3.8472490198 -0.0209510832 2.8483859311 -0.0209510832 47.715258168|
|12|0.02280470372790553008|2.820075 8.647072 2.176912|30.4951067522 11.5087286547 -0.9417984366 11.5087286547 67.1621196228 3.632746671 -0.9417984366 3.632746671 65.8579919381|
|13|0.00711679451795528811|-10.388465 -7.337666 -4.292731|71.7525946663 21.1241604782 3.5414603467 21.1241604782 23.646341752 -0.4677840075 3.5414603467 -0.4677840075 37.2283474376|
|14|0.02009608416587304464|45.133383 14.496550 -43.525123|40.1587604565 -2.5942846293 4.6147821301 -2.5942846293 20.7320485553 -3.5161757007 4.6147821301 -3.5161757007 27.9499764691|
|15|0.00919378117651033049|47.151166 -1.618070 -51.019439|34.5822242358 2.7154347202 -5.5174126056 2.7154347202 31.8561856603 -17.9092706419 -5.5174126056 -17.9092706419 50.8556809969|
|16|0.03194873930188386196|18.109639 2.544905 -27.407408|155.5131954018 -1.0912965898 -103.870371217 -1.0912965898 28.3684980282 -1.1245978049 -103.870371217 -1.1245978049 132.1349394644|
|17|0.00060323178264086496|14.787134 17.279730 -3.865299|3.8092293871 0.0002841808 8.66374e-05 0.0002841808 3.8288074807 0.0003140714 8.66374e-05 0.0003140714 3.7045106614|
|18|0.01245310099489035233|-9.376100 16.409238 8.457868|102.1250494191 36.7137191286 -48.6594308438 36.7137191286 35.8433936115 -20.101739102 -48.6594308438 -20.101739102 49.0762282941|
|19|0.00553523184312396457|-38.512322 -7.451592 36.466663|3.8234575132 -0.0028215766 -7.2064e-06 -0.0028215766 20.6595856939 13.1091838581 -7.2064e-06 13.1091838581 62.5784079609|
|20|0.00455563238076398241|-27.411350 -16.060576 -10.037827|23.5455086589 0.0375593362 16.410112492 0.0375593362 3.7819380113 0.0167222055 16.410112492 0.0167222055 30.3421585566|
|21|0.02252376589705236756|-26.650868 -11.657380 12.239275|40.2778054458 0.8795774484 -30.0837698778 0.8795774484 20.8608226249 -7.3077817425 -30.0837698778 -7.3077817425 104.471691027|
|22|0.00710618212112047645|41.826226 -4.346183 -36.157425|44.5625928162 12.685770955 -29.4961265987 12.685770955 44.4504059581 -11.2447677464 -29.4961265987 -11.2447677464 46.791094007|
|23|0.02151668901221041180|-17.152170 -1.808228 -8.340776|39.6167106403 8.4619366777 -15.736941476 8.4619366777 49.2855742482 -22.8596352056 -15.736941476 -22.8596352056 60.2885721873|
|24|0.01085414936162171218|-14.684097 5.023117 39.420176|21.9086304225 -2.4504510558 -5.4871544642 -2.4504510558 22.7761134967 2.2546422767 -5.4871544642 2.2546422767 45.7707570935|
|25|0.00760471970783423070|-22.286769 -11.040072 -8.318541|19.5475856938 1.6587637638 6.9301210332 1.6587637638 19.5131164728 -4.259682639 6.9301210332 -4.259682639 30.8112821851|
|26|0.00845257089457852190|-30.256646 3.549523 28.606110|31.746192615 12.9146130348 0.9111199917 12.9146130348 34.4262340465 -16.2795529283 0.9111199917 -16.2795529283 87.4712014738|
|27|0.00089495355902821834|61.453417 3.927663 -57.198684|3.8116698935 2.005e-05 9.62103e-05 2.005e-05 3.7042328167 -1.096e-07 9.62103e-05 -1.096e-07 3.7042269451|
|28|0.01319395525521085272|-24.744322 8.094387 14.258704|55.867715857 19.9714612376 -18.8858901492 19.9714612376 33.2979128744 -4.0225322457 -18.8858901492 -4.0225322457 50.8609414456|
